Increase the salary of the doctor who generated the highest profit last year. , 2025-05-24 22:12:30
View all the appointments of a patient diagnostic and treatments , 2025-05-24 22:13:10
Add appointment , 2025-05-25 12:19:06
View appointments for a specific doctor , 2025-05-25 12:20:04
View all the appointments of a patient diagnostic and treatments , 2025-05-25 12:20:44
Appointment reschedule , 2025-05-25 12:21:43
Appointment reschedule , 2025-05-25 12:22:16
Add diagnostic and treatments for an appointment , 2025-05-25 15:56:00
View all the appointments of a patient diagnostic and treatments , 2025-05-25 16:52:26
View all the appointments of a patient diagnostic and treatments , 2025-05-25 16:53:09
Sum of all payments made by patients this year , 2025-05-25 18:02:39
Generate invoice for appointment , 2025-05-25 18:03:05
Generate invoice for appointment , 2025-05-25 18:03:40
Generate invoice for appointment , 2025-05-25 18:06:10
Add new patient , 2025-05-25 18:42:08
Add new patient , 2025-05-25 18:55:34
Add appointment , 2025-05-25 18:57:52
Add diagnostic and treatments for an appointment , 2025-05-25 19:01:11
View all patient data , 2025-05-25 21:27:50
View all patient data , 2025-05-25 21:32:08
View all patient data , 2025-05-25 21:32:39
View all patient data , 2025-05-25 21:33:47
View all patient data , 2025-05-25 21:34:50
View the schedule for a specific doctor , 2025-05-25 21:39:27
Plan an appointment , 2025-05-30 16:05:15
Add new patient , 2025-05-30 16:08:01
Delete a future appointment , 2025-05-30 16:09:43
Delete a future appointment , 2025-05-30 16:10:41
Increase the salary of the doctor who generated the highest profit last year. , 2025-05-30 16:11:53
Increase the salary of the doctor who generated the highest profit last year. , 2025-05-30 16:12:46
Delete a future appointment , 2025-05-30 16:14:44
Add diagnostic and treatments for an appointment , 2025-05-30 16:15:29
Add appointment , 2025-05-30 16:19:27
Add appointment , 2025-05-30 16:20:12
Add diagnostic and treatments for an appointment , 2025-05-30 16:21:13
Generate invoice for appointment , 2025-05-30 16:28:03
View all the doctors that have a specific specialty , 2025-05-30 16:28:19
Increase the salary of the doctor who generated the highest profit last year. , 2025-05-30 16:28:55
View the schedule for a specific doctor , 2025-05-30 16:29:20
View all the doctors that have a specific specialty , 2025-05-30 16:30:55
View the schedule for a specific doctor , 2025-05-30 16:31:09
View appointments for a specific doctor , 2025-05-30 16:34:08
View all the doctors that have a specific specialty , 2025-05-30 16:37:11
View all patient data , 2025-06-01 19:02:49
View all patient data , 2025-06-04 16:51:49
View appointments for a specific doctor , 2025-06-04 16:59:03
Add appointment , 2025-06-04 17:00:36
View appointments for a specific doctor , 2025-06-04 17:01:03
Add appointment , 2025-06-04 17:01:45
Generate invoice for appointment , 2025-06-04 17:33:07
View all patient data , 2025-06-04 17:33:22
Add appointment , 2025-06-04 17:51:04
Add appointment , 2025-06-04 17:52:41
View all patient data , 2025-06-04 17:53:50
Add diagnostic and treatments for an appointment , 2025-06-04 17:56:49
View all the appointments of a patient diagnostic and treatments , 2025-06-04 18:01:28
Add appointment , 2025-06-05 09:19:34
Add appointment , 2025-06-05 09:20:19
Add diagnostic and treatments for an appointment , 2025-06-05 09:21:25
